#{"t_start": 1776916360.9957356, "env_id": "None"}
r,l,t
55.391236,23,6150.199974
100.0,1,6152.451171
79.73656,23,6177.751383
100.0,1,6180.000528
53.471555,23,6205.350002
100.0,1,6207.640199
66.969063,23,6233.439643
100.0,1,6235.789896
53.57841,23,6261.190901
100.0,1,6263.441977
-4.662716,23,6288.749798
100.0,1,6290.999535
41.857994,23,6316.350703
100.0,1,6318.599756
74.398243,23,6343.904186
100.0,1,6346.149964
94.028621,23,6371.550234
100.0,1,6373.801447
43.451017,23,6399.09926
100.0,1,6401.349732
9.715233,23,6426.699468
100.0,1,6428.953215
86.705168,23,6454.260027
100.0,1,6456.514482
66.137932,23,6481.900674
100.0,1,6484.150782
68.967286,23,6509.509603
100.0,1,6511.76019
61.960274,23,6537.612216
100.0,1,6539.864827
71.448143,23,6565.159405
100.0,1,6567.4097
93.104146,23,6592.80067
100.0,1,6595.05263
66.151434,23,6620.449219
100.0,1,6622.699183
68.653018,23,6648.011356
100.0,1,6650.259574
60.814448,23,6675.609471
100.0,1,6677.865141
46.352581,23,6703.249689
100.0,1,6705.45456
86.386742,23,6730.809354
100.0,1,6733.064351
100.158797,23,6758.409713
100.0,1,6760.65975
-18.629999,23,6786.009677
100.0,1,6788.259293
65.944767,23,6814.109946
100.0,1,6816.360037
79.104756,23,6841.759458
100.0,1,6844.009387
-100.0,1,6846.26057
100.0,1,6848.609652
97.610451,23,6874.009354
100.0,1,6876.262815
65.658265,23,6901.61953
100.0,1,6903.87055
89.925931,23,6929.259775
-100.0,1,6931.610219
73.581705,23,6956.859739
100.0,1,6959.119728
3.995577,23,6984.471668
100.0,1,6986.719697
48.131577,23,7012.122677
100.0,1,7014.373705
76.566082,23,7039.629789
100.0,1,7041.883089
55.74121,23,7067.219657
100.0,1,7069.473976
72.673018,23,7094.779432
100.0,1,7097.031873
93.254663,23,7122.879231
100.0,1,7125.129818
62.387105,23,7150.484736
100.0,1,7152.72991
64.85606,23,7178.130658
100.0,1,7180.379337
69.921242,23,7205.780391
100.0,1,7208.029154
81.303814,23,7233.339826
100.0,1,7235.593448
93.246619,23,7260.939334
100.0,1,7263.190469
20.061143,23,7288.539577
-100.0,1,7290.842677
65.485963,23,7316.189531
100.0,1,7318.440242
66.082525,23,7343.749554
100.0,1,7346.004677
4.374129,23,7371.350004
100.0,1,7373.60072
76.391201,23,7398.999263
100.0,1,7401.249407
62.95512,23,7427.101346
100.0,1,7429.350663
-21.977729,23,7454.71428
100.0,1,7456.960225
-100.0,1,7459.159724
100.0,1,7461.409374
78.515064,23,7486.762754
100.0,1,7489.00995
82.266316,23,7514.219942
100.0,1,7516.46953
72.325131,23,7541.771804
100.0,1,7544.019929
168.945939,23,7569.419629
93.088173,23,7594.769853
100.0,1,7597.01938
63.649795,23,7622.23279
100.0,1,7624.581571
42.960633,23,7649.930713
100.0,1,7652.184426
53.70232,23,7677.530012
100.0,1,7679.829964
64.180529,23,7705.729601
100.0,1,7707.980623
71.214341,23,7733.29204
100.0,1,7735.539814
91.969829,23,7760.939765
100.0,1,7763.18942
59.842307,23,7788.54008
100.0,1,7790.790054
179.035265,23,7816.139488
93.62713,23,7841.539533
-100.0,1,7843.78931
76.532528,23,7869.149878
100.0,1,7871.399153
-4.989036,23,7896.750786
100.0,1,7899.005059
89.936945,23,7924.351378
100.0,1,7926.600909
-12.167279,23,7951.999212
100.0,1,7954.204106
77.892809,23,7979.499529
100.0,1,7981.799938
63.041046,23,8007.649647
100.0,1,8009.900644
38.202523,23,8035.260115
100.0,1,8037.510522
-12.076211,23,8062.95964
100.0,1,8065.163071
95.209499,23,8090.559305
100.0,1,8092.762528
55.67746,23,8118.12169
100.0,1,8120.378842
82.140483,23,8145.721051
100.0,1,8147.969771
98.541146,23,8173.281283
100.0,1,8175.532368
63.794892,23,8200.930574
100.0,1,8203.179571
100.715787,23,8228.580126
100.0,1,8230.929591
-100.0,1,8233.180483
100.0,1,8235.430397
72.323669,23,8260.740724
100.0,1,8262.989906
-100.0,1,8265.190507
100.0,1,8267.440268
88.070968,23,8293.291711
100.0,1,8295.540116
83.123836,23,8320.899858
100.0,1,8323.053596
83.590984,23,8348.452519
100.0,1,8350.701968
73.209985,23,8376.009982
100.0,1,8378.26201
179.805636,21,8401.574743
71.108531,23,8426.870415
100.0,1,8429.12692
99.767326,23,8454.51931
100.0,1,8456.770376
80.266275,23,8482.081105
100.0,1,8484.332632
59.854044,23,8509.729072
100.0,1,8511.979565
68.37523,23,8537.289898
100.0,1,8539.54998
65.840362,23,8565.004194
100.0,1,8567.250053
41.637314,23,8593.150102
100.0,1,8595.399191
67.422206,23,8620.749666
100.0,1,8622.94944
