episode 166/200 | reward = 182.627 | steps = 39 | goal_reached
episode 167/200 | reward = 261.372 | steps = 43 | goal_reached
episode 168/200 | reward = 308.002 | steps = 71 | goal_reached
episode 169/200 | reward = 243.623 | steps = 41 | goal_reached
episode 170/200 | reward = 276.944 | steps = 65 | goal_reached
episode 171/200 | reward = 163.592 | steps = 21 | goal_reached
episode 172/200 | reward = 261.340 | steps = 44 | goal_reached
episode 173/200 | reward = 252.537 | steps = 55 | goal_reached
episode 174/200 | reward = 236.216 | steps = 45 | goal_reached
episode 175/200 | reward = 248.290 | steps = 51 | goal_reached
episode 176/200 | reward = 181.638 | steps = 30 | goal_reached
episode 177/200 | reward = 276.699 | steps = 60 | goal_reached
episode 178/200 | reward = 194.807 | steps = 35 | goal_reached
episode 179/200 | reward = 189.062 | steps = 35 | goal_reached
episode 180/200 | reward = 164.368 | steps = 20 | goal_reached
episode 181/200 | reward = 204.831 | steps = 34 | goal_reached
episode 182/200 | reward = 182.936 | steps = 38 | goal_reached
episode 183/200 | reward = 232.014 | steps = 52 | goal_reached
episode 184/200 | reward = 222.117 | steps = 54 | goal_reached
episode 185/200 | reward = 181.947 | steps = 30 | goal_reached
episode 186/200 | reward = 172.203 | steps = 28 | goal_reached
episode 187/200 | reward = 251.990 | steps = 56 | goal_reached
episode 188/200 | reward = 236.439 | steps = 45 | goal_reached
episode 189/200 | reward = 256.078 | steps = 49 | goal_reached
episode 190/200 | reward = 241.738 | steps = 58 | goal_reached
episode 191/200 | reward = -68.604 | steps = 95 | timeout
episode 192/200 | reward = -0.554 | steps = 1 | stuck
episode 193/200 | reward = 217.393 | steps = 31 | goal_reached
episode 194/200 | reward = 164.702 | steps = 39 | goal_reached
episode 195/200 | reward = 191.705 | steps = 65 | goal_reached
episode 196/200 | reward = 177.935 | steps = 26 | goal_reached
episode 197/200 | reward = 220.294 | steps = 35 | goal_reached
episode 198/200 | reward = 222.150 | steps = 54 | goal_reached
episode 199/200 | reward = 211.541 | steps = 37 | goal_reached
